sample,diameter_mm,cold_reduction_percent,variant,input_path,grain_detection_deg,hagb_threshold_deg,min_grain_pixels,kam_order,kam_cutoff_deg,kam_mean_deg,kam_median_deg,kam_p90_deg,boundaryLength2To5,boundaryLength5To15,boundaryLength15Plus,lagb_2_5_length_fraction,lagb_5_15_length_fraction,hagb_ge15_length_fraction
7d,7,0,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,2,15,5,1,5,0.137776663811792,0.117935257877916,0.226802114897221,120.5,1342.5,33407.5,0.00345564302203869,0.0384995913451198,0.958044765632841
6.48d,6.48,14.31,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,2,15,5,1,5,1.25713602032804,1.2124796684392,1.88678525953463,70955,11540.5,25827.5,0.655031710717022,0.106537854379956,0.238430434903022
6.02d,6.02,26.04,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,2,15,5,1,5,0.962095305976099,0.871504361866325,1.59716297128586,29210.5,3729.5,28653,0.474250320653321,0.0605507119315507,0.465198967415128
5.6d,5.6,36,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,2,15,5,1,5,1.3780894698911,1.35975129785023,1.94478663588276,92664.5,18231.5,19318.5,0.711629657219434,0.14001128906535,0.148359053715216
5.25d,5.25,43.75,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,2,15,5,1,5,1.43863344902263,1.43552636620726,1.96025545151305,107388,31780,15132,0.695968891769281,0.205962410887881,0.0980686973428386
5d,5,48.98,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,2,15,5,1,5,1.42065931217075,1.41344640585488,1.9546112215833,105367.5,27841,19589,0.689589162126344,0.182208478541861,0.128202359331795
