sample,diameter_mm,cold_reduction_percent,variant,input_path,valid_ti_hex_orientation_count,kernel_halfwidth_deg,plot_resolution_deg,pf_auto_maximum_mrd,ipf_auto_maximum_mrd,global_pf_color_maximum_mrd,global_ipf_color_maximum_mrd,coordinate_x,coordinate_y,coordinate_z,output_file
7d,7,0,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,358203,5,5,6.74165491260366,5.08645887514917,7,7,AD,TD/RD,ND,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\results\mtex_fig7_texture_gallery\01_state_figures\7p00mm_0p00pct_pf_ipf_texture.png
6.48d,6.48,14.31,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,350441,5,5,5.30572799689171,5.01333870265311,7,7,AD,TD/RD,ND,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\results\mtex_fig7_texture_gallery\01_state_figures\6p48mm_14p31pct_pf_ipf_texture.png
6.02d,6.02,26.04,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,355266,5,5,4.83613100178432,4.16653471836831,7,7,AD,TD/RD,ND,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\results\mtex_fig7_texture_gallery\01_state_figures\6p02mm_26p04pct_pf_ipf_texture.png
5.6d,5.6,36,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,335389,5,5,5.52374189977011,5.52374189920851,7,7,AD,TD/RD,ND,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\results\mtex_fig7_texture_gallery\01_state_figures\5p60mm_36p00pct_pf_ipf_texture.png
5.25d,5.25,43.75,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,317224,5,5,6.38095960825146,6.38095960761226,7,7,AD,TD/RD,ND,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\results\mtex_fig7_texture_gallery\01_state_figures\5p25mm_43p75pct_pf_ipf_texture.png
5d,5,48.98,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,328099,5,5,5.89135903659561,5.8913590360096,7,7,AD,TD/RD,ND,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\results\mtex_fig7_texture_gallery\01_state_figures\5p00mm_48p98pct_pf_ipf_texture.png
