sample,diameter_mm,cold_reduction_percent,variant,hagb_threshold_deg,min_grain_pixels,grain_count,total_retained_area_um2,boundary_touching_grain_fraction,ecd_number_mean_um,ecd_number_median_um,ecd_number_p90_um,ecd_area_weighted_mean_um,ecd_area_weighted_median_um,ecd_area_weighted_p90_um,number_lognormal_mu,number_lognormal_sigma,area_lognormal_mu,area_lognormal_sigma
7d,7,0,raw,15,5,2829,89399.5,0.0777659950512549,5.64409962832699,5.26241010355424,9.49113785538977,8.55108345197619,8.09764388904951,13.3033941803657,1.59216054923091,0.547080568701782,2.0619715047348,0.424615876947122
6.48d,6.48,14.31,raw,15,5,2178,87183.75,0.0844811753902663,6.24686847029988,5.69803548521301,10.8670588373389,9.93647947245028,9.4406974388263,15.1282784270434,1.6674287518264,0.601838004516874,2.20642021744082,0.441063620929334
6.02d,6.02,26.04,raw,15,5,2335,88590.25,0.0865096359743041,6.13503488133068,5.61361547776433,10.5550206141119,9.51271040016496,9.09728368293446,14.4723151260928,1.66312352863801,0.573498721566688,2.1658273719353,0.432212354934514
5.6d,5.6,36,raw,15,5,2042,82800,0.0984329089128306,6.16510388689996,5.4990398423234,11.2555468414977,10.3560721272114,9.91754782346883,15.9177469951717,1.62616820213061,0.650711207116156,2.24339729896719,0.457209279098032
5.25d,5.25,43.75,raw,15,5,1972,77377.5,0.0907707910750507,5.65928842340246,4.56606984285239,11.1075082535836,12.2367772161383,10.6749678806916,20.7909794246829,1.46601202167595,0.748607185618141,2.35502205825542,0.565796771137533
5d,5,48.98,raw,15,5,2224,80515.75,0.0926258992805755,5.71729318246337,5.04626504404032,10.6316424148698,10.2647903612504,9.59122292031186,16.6124854046993,1.52923501701012,0.68133284445682,2.22043475497866,0.486726403549818
