取向差角 [°],邻近对分布
0.50,
1.50,
2.50,
3.50,
4.50,
5.50,0.1060
6.50,0.0570
7.50,0.0351
8.50,0.0232
9.50,0.0162
10.50,0.0131
11.50,0.0102
12.50,0.0095
13.50,0.0081
14.50,0.0079
15.50,0.0084
16.50,0.0081
17.50,0.0075
18.50,0.0082
19.50,0.0086
20.50,0.0092
21.50,0.0097
22.50,0.0101
23.50,0.0109
24.50,0.0105
25.50,0.0109
26.50,0.0112
27.50,0.0119
28.50,0.0128
29.50,0.0131
30.50,0.0131
31.50,0.0131
32.50,0.0124
33.50,0.0119
34.50,0.0119
35.50,0.0115
36.50,0.0110
37.50,0.0103
38.50,0.0105
39.50,0.0105
40.50,0.0107
41.50,0.0098
42.50,0.0097
43.50,0.0101
44.50,0.0099
45.50,0.0098
46.50,0.0096
47.50,0.0093
48.50,0.0094
49.50,0.0093
50.50,0.0091
51.50,0.0093
52.50,0.0096
53.50,0.0097
54.50,0.0098
55.50,0.0094
56.50,0.0090
57.50,0.0092
58.50,0.0092
59.50,0.0095
60.50,0.0087
61.50,0.0082
62.50,0.0088
63.50,0.0096
64.50,0.0094
65.50,0.0085
66.50,0.0084
67.50,0.0084
68.50,0.0088
69.50,0.0082
70.50,0.0078
71.50,0.0085
72.50,0.0085
73.50,0.0086
74.50,0.0082
75.50,0.0075
76.50,0.0079
77.50,0.0083
78.50,0.0076
79.50,0.0081
80.50,0.0076
81.50,0.0079
82.50,0.0081
83.50,0.0084
84.50,0.0077
85.50,0.0076
86.50,0.0081
87.50,0.0079
88.50,0.0071
89.50,0.0074
