取向差角 [°],邻近对分布
0.50,
1.50,
2.50,
3.50,
4.50,
5.50,0.1462
6.50,0.0859
7.50,0.0551
8.50,0.0366
9.50,0.0255
10.50,0.0207
11.50,0.0163
12.50,0.0133
13.50,0.0120
14.50,0.0105
15.50,0.0092
16.50,0.0092
17.50,0.0086
18.50,0.0080
19.50,0.0080
20.50,0.0082
21.50,0.0087
22.50,0.0083
23.50,0.0086
24.50,0.0085
25.50,0.0083
26.50,0.0089
27.50,0.0092
28.50,0.0097
29.50,0.0095
30.50,0.0093
31.50,0.0090
32.50,0.0086
33.50,0.0085
34.50,0.0084
35.50,0.0077
36.50,0.0083
37.50,0.0081
38.50,0.0084
39.50,0.0079
40.50,0.0085
41.50,0.0086
42.50,0.0084
43.50,0.0086
44.50,0.0084
45.50,0.0082
46.50,0.0075
47.50,0.0074
48.50,0.0071
49.50,0.0071
50.50,0.0075
51.50,0.0071
52.50,0.0077
53.50,0.0074
54.50,0.0080
55.50,0.0078
56.50,0.0081
57.50,0.0074
58.50,0.0079
59.50,0.0074
60.50,0.0070
61.50,0.0068
62.50,0.0072
63.50,0.0072
64.50,0.0073
65.50,0.0069
66.50,0.0068
67.50,0.0073
68.50,0.0064
69.50,0.0067
70.50,0.0061
71.50,0.0064
72.50,0.0068
73.50,0.0071
74.50,0.0068
75.50,0.0066
76.50,0.0064
77.50,0.0070
78.50,0.0071
79.50,0.0067
80.50,0.0063
81.50,0.0059
82.50,0.0065
83.50,0.0071
84.50,0.0070
85.50,0.0069
86.50,0.0067
87.50,0.0066
88.50,0.0062
89.50,0.0052
