取向差角 [°],邻近对分布
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,0.6364
0.00,0.0909
0.00,0.0909
0.00,0.0000
0.00,0.0455
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0455
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0909
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
0.00,0.0000
