ID,TestNo,PlayTime,LoadValue,PositionValue,DeformValue,ExtDevValue,PercentWatch,YBValue,YLValue,DeformSwitch,CtrlStep,ExtendDevice1,ExtendDevice2,ExtendDevice3,ExtendDevice4,ExtendDevice5,ExtendDevice6,Engineering Strain,Engineering Stress,Ture Strain,Ture Stress
31847,8994,0.1333333,82.045,0.0006,6.9e-05,-1.298026,0,0,0,0,0,0,0,0,0,0,0,1.38e-06,3.31922364404652,1.37999904785166e-06,3.31922822457515
31848,8994,0.2,83.12,0.00267,0.000103,-1.302899,0,0,0,0,0,0,0,0,0,0,0,2.06e-06,3.36271398980007,2.05999787811782e-06,3.36272091699089
31849,8994,0.2666667,86.34,0.00497,0.000185,-1.305961,0,0,0,0,0,0,0,0,0,0,0,3.7e-06,3.49298274638279,3.69999315495675e-06,3.49299567041896
31850,8994,0.3333333,90.72,0.00732,0.000287,-1.303513,0,0,0,0,0,0,0,0,0,0,0,5.74e-06,3.67018062024377,5.73998352623936e-06,3.67020168708053
31851,8994,0.4,94.975,0.00956,0.000382,-1.305266,0,0,0,0,0,0,0,0,0,0,0,7.64e-06,3.84232147715666,7.63997081532409e-06,3.84235083249274
31852,8994,0.4666667,99.84,0.0118,0.000484,-1.313071,0,0,0,0,0,0,0,0,0,0,0,9.68e-06,4.03914057677621,9.67995314911425e-06,4.039179675657
31853,8994,0.5333334,104.705,0.01412,0.000597,-1.299602,0,0,0,0,0,0,0,0,0,0,0,1.194e-05,4.23595967639577,1.1939928718811e-05,4.2360102537543
31854,8994,0.6,109.955,0.01632,0.000709,-1.300262,0,0,0,0,0,0,0,0,0,0,0,1.418e-05,4.44835438821543,1.41798994647252e-05,4.44841746588065
31855,8994,0.6666667,116.115,0.01852,0.000827,-1.305139,0,0,0,0,0,0,0,0,0,0,0,1.654e-05,4.69756418341717,1.65398632157731e-05,4.69764188112876
31856,8994,0.7333333,122.96,0.02084,0.000963,-1.304401,0,0,0,0,0,0,0,0,0,0,0,1.926e-05,4.97448643149442,1.92598145285469e-05,4.97458224010309
31857,8994,0.8,130.055,0.023,0.001083,-1.308145,0,0,0,0,0,0,0,0,0,0,0,2.166e-05,5.26152271346785,2.16597654256217e-05,5.26163667804983
31858,8994,0.8666667,136.86,0.02514,0.001224,-1.302588,0,0,0,0,0,0,0,0,0,0,0,2.448e-05,5.53682671612172,2.44797003696834e-05,5.53696225763973
31859,8994,0.9333333,143.02,0.02746,0.001347,-1.290616,0,0,0,0,0,0,0,0,0,0,0,2.694e-05,5.78603651132346,2.6939637124637e-05,5.78619238714707
31860,8994,1,149.15,0.0297,0.001472,-1.293819,0,0,0,0,0,0,0,0,0,0,0,2.944e-05,6.03403262245765,2.94395666517524e-05,6.03421026437806
31861,8994,1.066667,154.905,0.03186,0.001572,-1.300218,0,0,0,0,0,0,0,0,0,0,0,3.144e-05,6.26685768274759,3.14395057736637e-05,6.26705471275313
31862,8994,1.133333,159.895,0.03412,0.001677,-1.299676,0,0,0,0,0,0,0,0,0,0,0,3.354e-05,6.46873379931523,3.3539437546775e-05,6.46895076064686
31863,8994,1.2,164.16,0.03636,0.001741,-1.295175,0,0,0,0,0,0,0,0,0,0,0,3.482e-05,6.64127921758396,3.48193937978629e-05,6.64151046692632
31864,8994,1.266667,167.79,0.03856,0.001825,-1.29065,0,0,0,0,0,0,0,0,0,0,0,3.65e-05,6.78813498975642,3.64993338912035e-05,6.78838275668354
31865,8994,1.333333,170.625,0.04078,0.001907,-1.291052,0,0,0,0,0,0,0,0,0,0,0,3.814e-05,6.90282813413903,3.81392726887129e-05,6.90309140800407
31866,8994,1.4,173.06,0.043,0.001956,-1.299943,0,0,0,0,0,0,0,0,0,0,0,3.912e-05,7.00133882428777,3.91192348328146e-05,7.00161271666258
31867,8994,1.466667,175.335,0.0452,0.002027,-1.293928,0,0,0,0,0,0,0,0,0,0,0,4.054e-05,7.09337653274296,4.05391782764972e-05,7.0936640982276
31868,8994,1.533333,177.505,0.04742,0.002089,-1.295291,0,0,0,0,0,0,0,0,0,0,0,4.178e-05,7.18116634696175,4.17791272402115e-05,7.18146637609173
31869,8994,1.6,179.575,0.0497,0.002102,-1.295917,0,0,0,0,0,0,0,0,0,0,0,4.204e-05,7.26491054762208,4.20391163440423e-05,7.2652159644615
31870,8994,1.666667,181.65,0.05192,0.002137,-1.296519,0,0,0,0,0,0,0,0,0,0,0,4.274e-05,7.34885702896033,4.27390866722647e-05,7.34917111910974
31871,8994,1.733333,183.575,0.0541,0.002163,-1.299985,0,0,0,0,0,0,0,0,0,0,0,4.326e-05,7.42673508996087,4.32590643131745e-05,7.42705637052086
31872,8994,1.8,185.33,0.05638,0.002207,-1.30365,0,0,0,0,0,0,0,0,0,0,0,4.414e-05,7.49773560791201,4.41390258588359e-05,7.49806655796175
31873,8994,1.866667,187.375,0.0586,0.002253,-1.296303,0,0,0,0,0,0,0,0,0,0,0,4.506e-05,7.58046840518272,4.50589848286258e-05,7.58080998108906
31874,8994,1.933333,189.36,0.06078,0.002294,-1.294218,0,0,0,0,0,0,0,0,0,0,0,4.588e-05,7.66077383431834,4.58789475450446e-05,7.66112531062186
31875,8994,2,191.195,0.06306,0.00235,-1.299239,0,0,0,0,0,0,0,0,0,0,0,4.7e-05,7.73501084311626,4.69988955345147e-05,7.73537438862589
31876,8994,2.066667,193.13,0.06528,0.002388,-1.303054,0,0,0,0,0,0,0,0,0,0,0,4.776e-05,7.81329346547265,4.77588595274648e-05,7.81366662836857
31877,8994,2.133333,194.995,0.06743,0.00246,-1.299261,0,0,0,0,0,0,0,0,0,0,0,4.92e-05,7.88874415833812,4.91987897197795e-05,7.88913228455071
31878,8994,2.2,196.59,0.06974,0.002493,-1.293556,0,0,0,0,0,0,0,0,0,0,0,4.986e-05,7.95327169459571,4.98587570315843e-05,7.9536682447224
31879,8994,2.266667,198.48,0.07195999,0.002542,-1.297858,0,0,0,0,0,0,0,0,0,0,0,5.084e-05,8.02973379085079,5.08387076911079e-05,8.03014202251671
31880,8994,2.333333,199.845,0.07409,0.002562,-1.300058,0,0,0,0,0,0,0,0,0,0,0,5.124e-05,8.0849564159239,5.12386872759394e-05,8.08537068909065
