sample,cold_reduction_percent,bin_lower_deg,bin_upper_deg,bin_width_deg,bin_center_deg,pair_count,probability,probability_density_per_degree,cumulative_probability
7d,0,23.1,23.2,0.100000000000001,23.15,74,0.000103934481949811,0.00103934481949809,0.9108368551673
7d,0,23.2,23.3,0.0999999999999979,23.25,92,0.000129215842424089,0.00129215842424092,0.910966071009724
7d,0,23.3,23.4,0.100000000000001,23.35,114,0.000160115283003763,0.0016011528300376,0.911126186292728
7d,0,23.4,23.5,0.0999999999999979,23.45,86,0.000120788722265996,0.00120788722265999,0.911246975014994
7d,0,23.5,23.6,0.100000000000001,23.55,98,0.000137642962582182,0.0013764296258218,0.911384617977576
7d,0,23.6,23.7,0.100000000000001,23.65,77,0.000108148042028857,0.00108148042028856,0.911492766019605
7d,0,23.7,23.8,0.0999999999999979,23.75,91,0.00012781132239774,0.00127811322397743,0.911620577342003
7d,0,23.8,23.9,0.100000000000001,23.85,82,0.000115170642160601,0.001151706421606,0.911735747984163
7d,0,23.9,24,0.0999999999999979,23.95,72,0.000101125441897113,0.00101125441897115,0.91183687342606
7d,0,24,24.1,0.100000000000001,24.05,69,9.69118818180669e-05,0.000969118818180655,0.911933785307878
7d,0,24.1,24.2,0.100000000000001,24.15,77,0.000108148042028857,0.00108148042028856,0.912041933349907
7d,0,24.2,24.3,0.0999999999999979,24.25,66,9.26983217390205e-05,0.000926983217390225,0.912134631671646
7d,0,24.3,24.4,0.100000000000001,24.35,79,0.000110957082081555,0.00110957082081553,0.912245588753728
7d,0,24.4,24.5,0.0999999999999979,24.45,74,0.000103934481949811,0.00103934481949813,0.912349523235678
7d,0,24.5,24.6,0.100000000000001,24.55,73,0.000102529961923462,0.00102529961923461,0.912452053197601
7d,0,24.6,24.7,0.100000000000001,24.65,76,0.000106743522002508,0.00106743522002507,0.912558796719604
7d,0,24.7,24.8,0.0999999999999979,24.75,89,0.000125002282345043,0.00125002282345045,0.912683799001949
7d,0,24.8,24.9,0.100000000000001,24.85,70,9.83164018444157e-05,0.000983164018444143,0.912782115403793
7d,0,24.9,25,0.0999999999999979,24.95,115,0.000161519803030112,0.00161519803030115,0.912943635206823
