sample,folder,input_file,cold_reduction_percent,pair_count,mean_angle_deg,std_angle_deg,q10_angle_deg,q25_angle_deg,median_angle_deg,q75_angle_deg,q90_angle_deg,mode_bin_center_deg,min_angle_deg,max_angle_deg
7d,d7,ebsd_sample_7_map_15.ctf,0,711987,5.20707604185666,16.72859617552,0.0441715083383886,0.0711447182849668,0.118293101606583,0.198147437437532,6.68440948505674,0.05,0.000828864280984708,93.6387004884607
6.48d,d6_48,ebsd_sample_648_map_13.ctf,14.31,684019,6.00595465490391,15.5024727830498,0.523062312823529,0.830495880229369,1.38402526683621,2.48125438884659,6.98605644682461,0.85,0.00880009525450721,93.7682121949247
6.02d,d6_02,ebsd_sample_602_map_11.ctf,26.04,701091,5.66387625320834,16.0780869645107,0.345303896946786,0.542386467528782,0.886993481427715,1.55034491273196,4.65808052538203,0.55,0.00888150715035179,93.7142711159121
5.6d,d5_6,ebsd_sample_56_map_9.ctf,36,634859,6.17042205340315,15.2777603726584,0.67285039181709,1.05826653240283,1.74241944046575,3.06021139374961,7.41701690700689,1.05,0.014145867694098,93.7328832420188
5.25d,d5_25,ebsd_sample_525_map_7.ctf,43.75,580256,6.78070185160131,15.1252554075392,0.851502854891811,1.35834895515803,2.28498205975555,4.11633127591189,10.3495992935009,1.35,0.0106420679181873,93.8041127358866
5d,d5,ebsd_sample_5_map_3.ctf,48.98,611089,7.04089668222636,15.8794680193931,0.798458085265675,1.26737993195581,2.12220703757973,3.85716143204266,11.7136937807315,1.15,0.0229532174790348,93.7682311433484
pooled,,,NaN,3923301,6.10224798805737,15.8161038364642,0.12749120685467,0.553348252949057,1.30655586242696,2.70951846201458,8.70765507763624,0.05,0.000828864280984708,93.8041127358866
