sample,diameter_mm,cold_reduction_percent,variant,input_path,orientation_domain_count,orientation_domain_ecd_number_mean_um,orientation_domain_ecd_number_median_um,orientation_domain_ecd_area_weighted_mean_um,orientation_domain_ecd_area_weighted_median_um,lagb_length_fraction,hagb_length_fraction,kam_mean_deg,kam_median_deg,kam_p90_deg,boundary_detection_deg,hagb_threshold_deg,min_domain_pixels,kam_order,kam_cutoff_deg
7d,7,0,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,3160,5.39210801415273,5.07770625192981,7.83560864288957,7.63221522047392,0.0419552343671585,0.958044765632841,0.137776663811792,0.117935257877916,0.226802114897221,2,15,5,1,5
6.48d,6.48,14.31,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,5258,3.34311700890569,2.11100412282238,7.36389686618905,7.39927702033192,0.761569565096978,0.238430434903022,1.25713602032804,1.2124796684392,1.88678525953463,2,15,5,1,5
6.02d,6.02,26.04,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,3374,4.84203261359968,4.38832761721104,8.01768883318385,7.99876785029682,0.534801032584872,0.465198967415128,0.962095305976099,0.871504361866325,1.59716297128586,2,15,5,1,5
5.6d,5.6,36,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,6926,2.63815939133652,1.78412411615277,6.47729079932006,6.2316776324215,0.851640946284784,0.148359053715216,1.3780894698911,1.35975129785023,1.94478663588276,2,15,5,1,5
5.25d,5.25,43.75,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,8327,2.14395752427955,1.59576912160573,4.91450906977153,4.0291195310357,0.901931302657161,0.0980686973428386,1.43863344902263,1.43552636620726,1.96025545151305,2,15,5,1,5
5d,5,48.98,raw,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,8655,2.25125244244892,1.69256875064327,4.9239267876917,4.25953794588991,0.871797640668205,0.128202359331795,1.42065931217075,1.41344640585488,1.9546112215833,2,15,5,1,5
