sample,diameter_mm,cold_reduction_percent,variant,grain_count,ecd_number_mean_um,ecd_area_weighted_mean_um,lagb_length_fraction,kam_mean_deg,boundary_detection_deg,hagb_threshold_deg,min_grain_pixels,kam_order,kam_cutoff_deg
7d,7,0,raw,2829,5.64409962832699,8.55108345197619,0.0419552343671585,0.137776663811792,2,15,5,1,5
5d,5,48.98,raw,2224,5.71729318246337,10.2647903612504,0.871797640668205,1.42065931217075,2,15,5,1,5
